analysis_drug_name,model_label,faers_signal_class,final_descriptor_rf_prob_positive,feature,feature_description,feature_value,shap_value,abs_shap_value
DEXAMETHASONE,1,positive_high,0.91451547973779,MolLogP,Calculated octanol/water partition coefficient,1.8957,0.03869297408477612,0.03869297408477612
DEXAMETHASONE,1,positive_high,0.91451547973779,FractionCSP3,Fraction of sp3 carbons,0.7272727272727273,0.04009328934158947,0.04009328934158947
DEXAMETHASONE,1,positive_high,0.91451547973779,RingCount,Number of rings,4.0,-0.005098733719543897,0.005098733719543897
DEXAMETHASONE,1,positive_high,0.91451547973779,TPSA,Topological polar surface area,94.83000000000001,0.0028027136332532555,0.0028027136332532555
DEXAMETHASONE,1,positive_high,0.91451547973779,fr_NH0,RDKit fragment count: NH0,0.0,0.01246870325461172,0.01246870325461172
DEXAMETHASONE,1,positive_high,0.91451547973779,fr_Al_OH,RDKit fragment count: Al_OH,3.0,0.04611295952548508,0.04611295952548508
DEXAMETHASONE,1,positive_high,0.91451547973779,fr_bicyclic,RDKit fragment count: bicyclic,5.0,0.006115035975013242,0.006115035975013242
DEXAMETHASONE,1,positive_high,0.91451547973779,NumHDonors,Number of hydrogen-bond donors,3.0,0.017156022449738635,0.017156022449738635
DEXAMETHASONE,1,positive_high,0.91451547973779,NumAromaticRings,Number of aromatic rings,0.0,0.016735760875323604,0.016735760875323604
DEXAMETHASONE,1,positive_high,0.91451547973779,BalabanJ,BalabanJ,1.83769187946728,-0.0028537194342087117,0.0028537194342087117
DEXAMETHASONE,1,positive_high,0.91451547973779,NumHAcceptors,Number of hydrogen-bond acceptors,5.0,-0.007107555281648532,0.007107555281648532
DEXAMETHASONE,1,positive_high,0.91451547973779,BertzCT,BertzCT,804.7488254884713,0.0023480010687771465,0.0023480010687771465
DEXAMETHASONE,1,positive_high,0.91451547973779,MolMR,Molar refractivity,99.94440000000004,0.010165889498046584,0.010165889498046584
DEXAMETHASONE,1,positive_high,0.91451547973779,NumHeteroatoms,Number of heteroatoms,6.0,0.0016353817114209824,0.0016353817114209824
DEXAMETHASONE,1,positive_high,0.91451547973779,NHOHCount,Number of NH or OH groups,3.0,0.01755240364184478,0.01755240364184478
DEXAMETHASONE,1,positive_high,0.91451547973779,fr_piperzine,RDKit fragment count: piperzine,0.0,0.007067363351240773,0.007067363351240773
DEXAMETHASONE,1,positive_high,0.91451547973779,fr_ketone_Topliss,RDKit fragment count: ketone_Topliss,1.0,0.03883807501290915,0.03883807501290915
DEXAMETHASONE,1,positive_high,0.91451547973779,HeavyAtomCount,Number of heavy atoms,28.0,-0.000758419146965471,0.000758419146965471
DEXAMETHASONE,1,positive_high,0.91451547973779,NOCount,Number of nitrogen or oxygen atoms,5.0,0.0033394947061442417,0.0033394947061442417
