analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason,atom_index,atom_symbol,atom_shap_contribution,abs_atom_shap_contribution,heatmap_svg,heatmap_png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,23,C,0.003920718104544336,0.003920718104544336,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,24,O,0.0006133424296587057,0.0006133424296587057,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,25,N,0.00494886222357901,0.00494886222357901,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,26,C,0.0034091135383058054,0.0034091135383058054,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,27,O,0.0008429174660171416,0.0008429174660171416,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,28,O,0.003949730914686271,0.003949730914686271,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
CEFUROXIME,1,positive_high,0.8269389109658991,additional_high_probability,29,Na,0.00042568183881592657,0.00042568183881592657,output_interpretation_selected/heatmaps_svg/CEFUROXIME__label1__p0.83__additional_high_probability.svg,output_interpretation_selected/heatmaps_png/CEFUROXIME__label1__p0.83__additional_high_probability.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,0,C,-0.005129272323739318,0.005129272323739318,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,1,C,-0.008741744482961765,0.008741744482961765,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,2,C,0.0070140363031457285,0.0070140363031457285,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
