roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos,n_train_scaffolds,n_test_scaffolds
0.7454545454545455,0.787905640097901,0.6011363636363637,0.5777777777777778,0.7272727272727273,0.47500000000000014,0.48780487804878053,0.5839416058394161,0.20352548925167305,0.25907867502739146,5.0,6.0,3.0,7.0,0.5,logistic_l2,29,StratifiedGroupKFold,fixed_0.5,85,21,49,10,66,20
0.7454545454545455,0.787905640097901,0.5909090909090909,0.6666666666666666,0.18181818181818182,1.0,1.0,0.3076923076923077,0.34112114616897615,0.25907867502739146,11.0,0.0,9.0,1.0,0.9790444193115838,logistic_l2,29,StratifiedGroupKFold,train_youden,85,21,49,10,66,20
0.6692307692307693,0.6443060939825163,0.5961538461538461,0.6,0.6923076923076923,0.5000000000000001,0.6000000000000001,0.6428571428571429,0.19611613513818404,0.2676705649899508,4.0,5.0,4.0,9.0,0.5,logistic_l2,30,StratifiedGroupKFold,fixed_0.5,84,22,46,13,66,20
0.6692307692307693,0.6443060939825163,0.45,0.432,0.0,0.9,0.0,0.0,-0.23371317622140156,0.2676705649899508,8.0,1.0,13.0,0.0,0.9800590433996537,logistic_l2,30,StratifiedGroupKFold,train_youden,84,22,46,13,66,20
0.6204761904761904,0.6571403820462383,0.5133333333333334,0.5170731707317072,0.6666666666666666,0.36000000000000015,0.5223880597014927,0.5857740585774059,0.028014431149019955,0.25956712932752474,6.0,10.0,5.0,12.0,0.5,logistic_l2,31,StratifiedGroupKFold,fixed_0.5,73,33,42,17,67,19
0.6204761904761904,0.6571403820462383,0.5,0.4878048780487803,0.0,1.0,0.0,0.0,0.0,0.25956712932752474,16.0,0.0,17.0,0.0,0.9798863451391918,logistic_l2,31,StratifiedGroupKFold,train_youden,73,33,42,17,67,19
0.7115384615384615,0.7936141343447862,0.579059829059829,0.528169014084507,0.3888888888888889,0.7692307692307694,0.7446808510638299,0.5109489051094891,0.1618818137236429,0.285936254930337,5.0,2.0,10.0,6.0,0.5,logistic_l2,32,StratifiedGroupKFold,fixed_0.5,83,23,43,16,67,19
0.7115384615384615,0.7936141343447862,0.5,0.3661971830985915,0.0,1.0,0.0,0.0,0.0,0.285936254930337,7.0,0.0,16.0,0.0,0.9790766283416874,logistic_l2,32,StratifiedGroupKFold,train_youden,83,23,43,16,67,19
0.855,0.8717475403966024,0.5750000000000001,0.5,0.9,0.25000000000000006,0.42857142857142866,0.5806451612903226,0.18516401995451026,0.2933389399947454,3.0,9.0,1.0,7.0,0.5,logistic_l2,33,StratifiedGroupKFold,fixed_0.5,86,20,51,8,66,20
0.855,0.8717475403966024,0.8,0.846153846153846,0.6,1.0,1.0,0.75,0.6928203230275511,0.2933389399947454,12.0,0.0,4.0,4.0,0.9810085053452495,logistic_l2,33,StratifiedGroupKFold,train_youden,86,20,51,8,66,20
