scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
exclude_antihistamines_all,scaffold,fixed_0.5,balanced_accuracy,100,0.6461921750441132,0.12761158903586592,0.6604545454545455,0.4128068475452197,0.8444583333333332
exclude_antihistamines_all,scaffold,fixed_0.5,accuracy,100,0.6317374174001789,0.1285646888583536,0.6528175182481752,0.39292576993945777,0.8402429467084639
exclude_antihistamines_all,scaffold,fixed_0.5,sensitivity,100,0.7425413498987364,0.18659176900965357,0.7333333333333333,0.3477272727272727,1.0
exclude_antihistamines_all,scaffold,fixed_0.5,specificity,100,0.5498430001894902,0.22452978760730724,0.5393939393939394,0.2,1.0
exclude_antihistamines_all,scaffold,fixed_0.5,precision,100,0.6236545514083054,0.20613290208740065,0.636302294197031,0.18551724137931036,1.0
exclude_antihistamines_all,scaffold,fixed_0.5,f1,100,0.6515898236679769,0.15548220316931377,0.6897810980572192,0.28970588235294115,0.8574157523510971
exclude_antihistamines_all,scaffold,fixed_0.5,mcc,100,0.29973049072982333,0.25495665516881955,0.340055420141311,-0.176454357864831,0.6817679951202045
exclude_antihistamines_all,scaffold,fixed_0.5,brier,100,0.22849609149023845,0.02698711031128756,0.22304634026590495,0.19031464375546084,0.29425325166946215
exclude_antihistamines_all,scaffold,train_youden,roc_auc,100,0.7134215451555029,0.1424560051431099,0.7306931818181819,0.39077519379844966,0.9313041125541126
exclude_antihistamines_all,scaffold,train_youden,pr_auc,100,0.7375755938967206,0.1679604806454631,0.7473094943826791,0.28173287215328296,0.9622063726782956
exclude_antihistamines_all,scaffold,train_youden,balanced_accuracy,100,0.6490817573386637,0.13261389632132078,0.645220497659522,0.3388541666666667,0.866517857142857
exclude_antihistamines_all,scaffold,train_youden,accuracy,100,0.6514189462456897,0.11803165606092317,0.6479395367549858,0.4289214046822743,0.8585561497326202
exclude_antihistamines_all,scaffold,train_youden,sensitivity,100,0.6181550774421383,0.22870130582998208,0.6666666666666666,0.0,1.0
exclude_antihistamines_all,scaffold,train_youden,specificity,100,0.6800084372351891,0.18999911703922176,0.6770833333333335,0.342549542682927,1.0
exclude_antihistamines_all,scaffold,train_youden,precision,100,0.6486815075171037,0.2347146338235943,0.6679790026246721,0.0,1.0
exclude_antihistamines_all,scaffold,train_youden,f1,100,0.6129377084808476,0.1992549725186815,0.6613178120075893,0.0,0.8671944035346096
exclude_antihistamines_all,scaffold,train_youden,mcc,100,0.3050379799678705,0.2616892199537417,0.3072392060596715,-0.2555497412646191,0.7349158897614937
exclude_antihistamines_all,scaffold,train_youden,brier,100,0.22849609149023845,0.02698711031128756,0.22304634026590495,0.19031464375546084,0.29425325166946215
exclude_broad_treatment_all,random,fixed_0.5,roc_auc,100,0.7260823082385697,0.10434955565348314,0.7325487012987013,0.47569332607048126,0.89952683507371
exclude_broad_treatment_all,random,fixed_0.5,pr_auc,100,0.7563137241630491,0.09983230488845098,0.7675657066653776,0.5284094801500734,0.9182298929535581
exclude_broad_treatment_all,random,fixed_0.5,balanced_accuracy,100,0.6677834542156639,0.09292317630964518,0.6736721611721612,0.4795192833985937,0.8259420955882353
exclude_broad_treatment_all,random,fixed_0.5,accuracy,100,0.66773614945183,0.09295539577216948,0.6741582491582492,0.4731313926042486,0.8181932773109241
exclude_broad_treatment_all,random,fixed_0.5,sensitivity,100,0.6832817182817184,0.15889809600024044,0.6794871794871795,0.38461538461538464,0.966071428571428
exclude_broad_treatment_all,random,fixed_0.5,specificity,100,0.6522851901496098,0.15659483705930047,0.662280701754386,0.2895812807881774,0.9090909090909092
exclude_broad_treatment_all,random,fixed_0.5,precision,100,0.6616566135464395,0.11422225817063542,0.6646586345381527,0.4738334760273974,0.8823529411764707
exclude_broad_treatment_all,random,fixed_0.5,f1,100,0.6604292793361701,0.10517819720312305,0.6779661016949153,0.43281484257871067,0.8222783143107989
exclude_broad_treatment_all,random,fixed_0.5,mcc,100,0.3469473936455784,0.19195744953323582,0.36017956702480325,-0.04140448399571384,0.6625567681347735
exclude_broad_treatment_all,random,fixed_0.5,brier,100,0.22132222443565705,0.018703268027996465,0.21939503267401161,0.19133515985499086,0.2626600949365012
exclude_broad_treatment_all,random,train_youden,roc_auc,100,0.7260823082385697,0.10434955565348314,0.7325487012987013,0.47569332607048126,0.89952683507371
exclude_broad_treatment_all,random,train_youden,pr_auc,100,0.7563137241630491,0.09983230488845098,0.7675657066653776,0.5284094801500734,0.9182298929535581
exclude_broad_treatment_all,random,train_youden,balanced_accuracy,100,0.6815899974333983,0.0857888932776657,0.6870679723502304,0.4822288568112922,0.8246991978609625
exclude_broad_treatment_all,random,train_youden,accuracy,100,0.6832299085575212,0.08619818316747062,0.6876647834274953,0.48433745904623227,0.8156504065040648
exclude_broad_treatment_all,random,train_youden,sensitivity,100,0.6419565434565433,0.16803792512322546,0.6363636363636364,0.3,0.9259615384615385
exclude_broad_treatment_all,random,train_youden,specificity,100,0.721223451410253,0.1554358979986068,0.7119815668202767,0.41409313725490204,1.0
exclude_broad_treatment_all,random,train_youden,precision,100,0.7039548162191385,0.12957034417394114,0.6942551119766311,0.49224305106658056,1.0
exclude_broad_treatment_all,random,train_youden,f1,100,0.6544795455348645,0.11357069497413022,0.6691542288557214,0.36609941782355576,0.819672131147541
exclude_broad_treatment_all,random,train_youden,mcc,100,0.3793497426331374,0.17709951157040968,0.39160839160839156,-0.03621474367289944,0.6535044945973049
exclude_broad_treatment_all,random,train_youden,brier,100,0.22132222443565705,0.018703268027996465,0.21939503267401161,0.19133515985499086,0.2626600949365012
exclude_broad_treatment_all,scaffold,fixed_0.5,roc_auc,100,0.7060395442185822,0.12149675088032333,0.7038203065317035,0.4562179487179487,0.9396969696969696
exclude_broad_treatment_all,scaffold,fixed_0.5,pr_auc,100,0.7320582843178641,0.13929784139163875,0.7426311628494151,0.46755185474881444,0.9524185670959863
