scenario,split_type,analysis_drug_name,model_label,faers_signal_class,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden,potential_false_positive,potential_false_negative
main_all_labels,scaffold,ETOPOSIDE,1,positive_moderate,0.5379257817124443,0.029150788021420588,0.5392653360379039,20,0.9,0.35,False,False
main_all_labels,scaffold,FENFLURAMINE,0,negative_expanded,0.5346212999610116,0.03617280885780222,0.5420997325510122,20,0.85,0.55,False,False
main_all_labels,scaffold,DEXCHLORPHENIRAMINE,1,positive_moderate,0.5343093064941838,0.03740036030194386,0.5307590682536363,20,0.9,0.45,False,False
main_all_labels,scaffold,GLYCOPYRROLATE,1,positive_moderate,0.5326089684398705,0.04208855456511703,0.5397340461822797,20,0.7,0.35,False,False
main_all_labels,scaffold,LABETALOL,1,positive_moderate,0.5311905000578363,0.040246177081302105,0.5318190355231911,20,0.8,0.2,False,False
main_all_labels,scaffold,CLOPIDOGREL,0,negative_expanded,0.5300392263114908,0.03710345298184197,0.5370115621166973,20,0.75,0.2,False,False
main_all_labels,scaffold,LETROZOLE,0,negative_expanded,0.5200854373571048,0.03931592716158601,0.5226540374444179,20,0.7,0.3,False,False
main_all_labels,scaffold,NINTEDANIB,0,negative_expanded,0.5181595044047236,0.049203772334452556,0.5361416659486176,20,0.65,0.25,False,False
main_all_labels,scaffold,APREMILAST,0,negative_moderate,0.5153428512455087,0.03714335711059423,0.5148386552869872,20,0.55,0.15,False,False
main_all_labels,scaffold,RELUGOLIX,0,negative_high,0.5120538993955126,0.052803745705840996,0.5117453430233687,20,0.7,0.25,False,False
main_all_labels,scaffold,SUFENTANIL,1,positive_moderate,0.5101971821706737,0.03914822871120016,0.5077705617055281,20,0.55,0.2,False,False
main_all_labels,scaffold,METAMIZOLE,1,positive_moderate,0.5044229645268038,0.03838391547177109,0.5241166954574372,20,0.6,0.2,False,False
main_all_labels,scaffold,BORTEZOMIB,1,positive_moderate,0.5013286934920554,0.045800338026033234,0.5005418944833803,20,0.5,0.35,False,False
main_all_labels,scaffold,ALPRAZOLAM,0,negative_moderate,0.4990854451221933,0.039001852422317504,0.5062200481164046,20,0.55,0.1,False,False
main_all_labels,scaffold,TAFAMIDIS,0,negative_expanded,0.4913160827337023,0.05124648219523328,0.49735723134389875,20,0.5,0.05,False,False
main_all_labels,scaffold,FLUDARABINE,1,positive_moderate,0.4912147473035152,0.0674935218293919,0.4726644634091918,20,0.4,0.2,False,False
main_all_labels,scaffold,RIOCIGUAT,0,negative_expanded,0.48761340049720603,0.046861705327349554,0.48689504089947055,20,0.35,0.05,False,False
main_all_labels,scaffold,FLUCONAZOLE,0,negative_expanded,0.48547389470283936,0.03510317256518553,0.4888776005811556,20,0.3,0.15,False,False
main_all_labels,scaffold,LORAZEPAM,0,negative_expanded,0.4847378095662357,0.03200788682740006,0.4770130758049407,20,0.25,0.1,False,False
main_all_labels,scaffold,RISPERIDONE,0,negative_expanded,0.4840804439214527,0.05312077381598433,0.48851616032609363,20,0.25,0.0,False,False
main_all_labels,scaffold,MACITENTAN,0,negative_expanded,0.4837666709004715,0.043451074731786325,0.48584807472871816,20,0.4,0.0,False,False
main_all_labels,scaffold,PALBOCICLIB,0,negative_high,0.47684069285113023,0.04227078054101759,0.4620996951938676,20,0.3,0.0,False,False
main_all_labels,scaffold,OSIMERTINIB,0,negative_expanded,0.4760339485821756,0.04726893932113267,0.48638998387193066,20,0.4,0.05,False,False
main_all_labels,scaffold,VINCRISTINE,1,positive_moderate,0.47441847562258344,0.039747050694693566,0.4749549366106676,20,0.3,0.0,False,False
