scenario,bit,importance,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs,bitinfo_examples
no_negative_expanded,692,0.004391899118900038,0.033898305147886276,0.1428571492433548,-0.10895884037017822,4,2,2,ENCORAFENIB | TREOSULFAN,RELUGOLIX | APREMILAST,"ENCORAFENIB:((19, 1),) | TREOSULFAN:((0, 1), (13, 1)) | RELUGOLIX:((3, 2),) | APREMILAST:((14, 1),)"
no_negative_expanded,656,0.0043029460256764586,0.2881355881690979,0.0,0.2881355881690979,17,17,0,CEFUROXIME | PACLITAXEL | ROCURONIUM | APREPITANT | AZITHROMYCIN | BUDESONIDE | CYCLOPHOSPHAMIDE | CYTARABINE | DOXORUBICIN | ETOPOSIDE | FLUDARABINE | HYDROMORPHONE | IFOSFAMIDE | ISOSORBIDE DINITRATE | MORPHINE | NEMTABRUTINIB | SUFENTANIL,,"CEFUROXIME:((8, 0),) | PACLITAXEL:((51, 0),) | ROCURONIUM:((25, 0),) | APREPITANT:((22, 0),) | AZITHROMYCIN:((17, 0), (25, 0), (38, 0)) | BUDESONIDE:((4, 0), (23, 0)) | CYCLOPHOSPHAMIDE:((5, 0),) | CYTARABINE:((12, 0),) | DOXORUBICIN:((6, 0),) | ETOPOSIDE:((2, 0), (6, 0), (10, 0))"
no_negative_expanded,917,0.004270414604466651,0.033898305147886276,0.1428571492433548,-0.10895884037017822,4,2,2,ONDANSETRON | MIDAZOLAM,ABEMACICLIB | ALPRAZOLAM,"ONDANSETRON:((1, 1),) | MIDAZOLAM:((1, 1),) | ABEMACICLIB:((30, 1),) | ALPRAZOLAM:((1, 1),)"
no_negative_expanded,1077,0.004261282469112563,0.050847455859184265,0.1428571492433548,-0.09200969338417053,5,3,2,ACETAMINOPHEN | CHLORHEXIDINE GLUCONATE | MELPHALAN,CABOZANTINIB | RELUGOLIX,"ACETAMINOPHEN:((4, 2),) | CHLORHEXIDINE GLUCONATE:((5, 2), (24, 2)) | MELPHALAN:((2, 2),) | CABOZANTINIB:((18, 2), (30, 2)) | RELUGOLIX:((35, 2),)"
no_negative_expanded,216,0.004228326118368178,0.06779661029577255,0.1428571492433548,-0.07506053894758224,6,4,2,CHLORHEXIDINE GLUCONATE | DEXCHLORPHENIRAMINE | ENCORAFENIB | MIDAZOLAM,CLOZAPINE | ALPRAZOLAM,"CHLORHEXIDINE GLUCONATE:((27, 1), (2, 1), (39, 2)) | DEXCHLORPHENIRAMINE:((9, 1),) | ENCORAFENIB:((12, 1),) | MIDAZOLAM:((9, 1),) | CLOZAPINE:((13, 1),) | ALPRAZOLAM:((9, 1),)"
no_negative_expanded,544,0.004199732308716856,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,PALBOCICLIB | ABEMACICLIB,"PALBOCICLIB:((9, 2),) | ABEMACICLIB:((17, 2),)"
no_negative_expanded,944,0.004189054328252668,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,OLANZAPINE | QUETIAPINE,"OLANZAPINE:((11, 2),) | QUETIAPINE:((15, 2),)"
no_negative_expanded,747,0.004174764070586156,0.033898305147886276,0.1428571492433548,-0.10895884037017822,4,2,2,CEFTRIAXONE | CEFAZOLIN,APREMILAST | AZATHIOPRINE,"CEFTRIAXONE:((2, 1),) | CEFAZOLIN:((19, 1),) | APREMILAST:((3, 2),) | AZATHIOPRINE:((7, 2),)"
no_negative_expanded,1145,0.004163759951151469,0.22033898532390594,0.3571428656578064,-0.13680388033390045,18,13,5,CEFTRIAXONE | ONDANSETRON | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | DROPERIDOL | HYDROMORPHONE | IFOSFAMIDE | METAMIZOLE | MORPHINE | REMIFENTANIL | SUFENTANIL | VINBLASTINE,CLOZAPINE | PIMAVANSERIN | AZATHIOPRINE | OLANZAPINE | QUETIAPINE,"CEFTRIAXONE:((0, 1),) | ONDANSETRON:((21, 1),) | APREPITANT:((2, 2),) | AZITHROMYCIN:((47, 1),) | BENDAMUSTINE:((0, 1),) | DROPERIDOL:((16, 1),) | HYDROMORPHONE:((0, 1),) | IFOSFAMIDE:((11, 1),) | METAMIZOLE:((7, 1),) | MORPHINE:((0, 1),)"
no_negative_expanded,90,0.004121189815290095,0.033898305147886276,0.1428571492433548,-0.10895884037017822,4,2,2,APREPITANT | DROPERIDOL,CABOZANTINIB | PIMAVANSERIN,"APREPITANT:((33, 2),) | DROPERIDOL:((24, 2),) | CABOZANTINIB:((33, 2),) | PIMAVANSERIN:((20, 2),)"
no_negative_expanded,1670,0.004079506366291205,0.050847455859184265,0.1428571492433548,-0.09200969338417053,5,3,2,APREPITANT | DROPERIDOL | IOPAMIDOL,CABOZANTINIB | PIMAVANSERIN,"APREPITANT:((33, 1),) | DROPERIDOL:((24, 1),) | IOPAMIDOL:((2, 2),) | CABOZANTINIB:((33, 1),) | PIMAVANSERIN:((20, 1),)"
no_negative_expanded,1099,0.004064425012125469,0.033898305147886276,0.1428571492433548,-0.10895884037017822,4,2,2,CYTARABINE | FLUDARABINE,PALBOCICLIB | ABEMACICLIB,"CYTARABINE:((8, 2),) | FLUDARABINE:((9, 2),) | PALBOCICLIB:((13, 1),) | ABEMACICLIB:((12, 1),)"
no_negative_expanded,1470,0.004038851880346158,0.0,0.1428571492433548,-0.1428571492433548,2,0,2,,CLOZAPINE | OLANZAPINE,"CLOZAPINE:((18, 2),) | OLANZAPINE:((8, 2),)"
