scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
strict_high_confidence,random,train_youden,sensitivity,100,0.79,0.3437921487270687,1.0,0.0,1.0
strict_high_confidence,random,train_youden,specificity,100,0.8121428571428573,0.24671579759515042,1.0,0.3076923076923077,1.0
strict_high_confidence,random,train_youden,precision,100,0.7476472431077694,0.31363345842670554,0.7894736842105263,0.0,1.0
strict_high_confidence,random,train_youden,f1,100,0.7437369756502349,0.3034735111766881,0.8333333333333334,0.0,1.0
strict_high_confidence,random,train_youden,mcc,100,0.626712503305149,0.34516490797156885,0.6761658689374379,0.0,1.0
strict_high_confidence,random,train_youden,brier,100,0.21549705030259442,0.018240216688498123,0.2124813800458662,0.18642307845285813,0.25900713738745035
strict_high_confidence,scaffold,fixed_0.5,roc_auc,93,0.8330497418882519,0.2265243881998852,1.0,0.26315789473684215,1.0
strict_high_confidence,scaffold,fixed_0.5,pr_auc,93,0.8647253832833319,0.20185560265457286,1.0,0.36538461538461536,1.0
strict_high_confidence,scaffold,fixed_0.5,balanced_accuracy,93,0.6561671343330187,0.1758321377328945,0.631578947368421,0.4326923076923077,1.0
strict_high_confidence,scaffold,fixed_0.5,accuracy,93,0.5268618357438761,0.24721696148686356,0.5652173913043479,0.15065789473684213,1.0
strict_high_confidence,scaffold,fixed_0.5,sensitivity,93,0.6568100358422939,0.4357668331172611,1.0,0.0,1.0
strict_high_confidence,scaffold,fixed_0.5,specificity,93,0.6555242328237434,0.3595942643006654,0.6923076923076923,0.0,1.0
strict_high_confidence,scaffold,fixed_0.5,precision,93,0.4376322554332447,0.3718657556710095,0.35714285714285715,0.0,1.0
strict_high_confidence,scaffold,fixed_0.5,f1,93,0.460568349334575,0.3238980976892954,0.5,0.0,1.0
strict_high_confidence,scaffold,fixed_0.5,mcc,93,0.3190405460505591,0.35121011455085943,0.2631578947368421,-0.13673544235706125,1.0
strict_high_confidence,scaffold,fixed_0.5,brier,93,0.25139606580450724,0.051411825921635936,0.2413009910552821,0.17804000082285823,0.3369655889360187
strict_high_confidence,scaffold,train_youden,roc_auc,93,0.8330497418882519,0.2265243881998852,1.0,0.26315789473684215,1.0
strict_high_confidence,scaffold,train_youden,pr_auc,93,0.8647253832833319,0.20185560265457286,1.0,0.36538461538461536,1.0
